Codigo municipio;Municipio;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005
48004;Amoroto;3.634,46;3.569,23;140,39;137,35;139,36;136,04;136,04;138,01;149,63;129,90;133,84;125,63;123,46;123,46;129,95;0,00;0,00;0,00
01002;Amurrio;198,38;186,39;139,81;135,43;122,66;103,90;104,35;104,47;104,78;104,77;105,59;106,33;106,28;40,61;35,79;31,89;32,44;25,81
20009;Andoain;228,17;219,65;95,92;95,14;80,83;80,91;80,92;81,47;81,30;81,15;81,26;81,51;81,62;82,07;12,37;12,65;12,89;12,19
20010;Anoeta;665,25;670,95;144,41;65,52;65,32;67,10;67,34;66,63;66,39;70,26;71,05;71,04;65,57;65,25;28,93;0,00;0,00;0,00
20011;Antzuola;361,60;363,47;109,04;65,17;49,52;49,12;49,23;45,43;44,58;45,07;45,23;45,35;45,37;46,08;46,67;14,76;0,00;1,56
48005;Arakaldo;353,93;372,78;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20012;Arama;1.179,49;1.161,62;1.121,95;1.127,45;1.138,61;1.100,48;1.090,05;1.095,24;1.079,81;1.045,45;1.045,45;1.150,00;0,00;0,00;0,00;0,00;0,00;0,00
01003;Aramaio;525,29;409,00;333,11;312,16;306,77;139,38;139,66;134,34;129,03;134,07;132,94;91,09;92,29;91,56;91,86;52,76;9,99;33,76
48006;Arantzazu;393,20;385,71;270,98;190,72;196,29;201,09;197,86;195,77;182,29;192,21;174,26;165,75;170,94;185,76;213,86;213,86;0,00;0,00
48093;Areatza;518,67;517,41;493,64;224,39;227,16;225,86;229,43;231,16;238,10;209,13;204,21;204,75;196,75;202,64;105,62;107,35;110,56;104,70
20013;Aretxabaleta;277,74;250,39;231,10;221,33;220,77;81,56;81,46;80,29;80,28;80,22;81,00;81,75;43,21;35,93;35,87;36,16;27,21;33,91
01006;Armi��n;8,89;8,77;8,93;8,97;8,97;9,35;8,89;9,01;0,00;8,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
01037;Arraia-Maeztu;1.700,00;1.701,25;1.496,86;1.520,49;433,06;337,06;334,72;257,66;254,60;260,56;253,08;162,82;165,98;169,01;170,97;172,19;5,42;4,37
48009;Arrankudiaga;392,08;360,00;101,88;30,45;30,42;30,45;30,54;30,82;30,18;31,34;31,66;30,80;31,75;0,00;4,67;4,78;5,00;130,18
20055;Arrasate/Mondrag�n;189,28;188,20;68,94;67,84;65,37;65,18;65,41;62,18;62,01;56,88;56,93;54,51;49,61;49,47;46,79;41,62;31,03;23,73
48914;Arratzu;630,07;622,64;584,54;539,02;532,53;378,31;382,93;385,75;394,09;391,52;401,53;413,44;416,67;0,00;0,00;0,00;0,00;0,00
01008;Arratzua-Ubarrundia;1.286,64;1.204,48;842,45;821,26;579,86;579,30;582,68;584,39;573,61;525,96;534,18;541,87;566,43;592,67;404,26;414,88;296,61;278,77
48010;Arrieta;772,73;711,50;515,10;387,21;321,55;167,58;167,58;165,47;159,01;161,97;170,37;164,23;167,29;54,05;22,49;22,53;2,00;2,01
48011;Arrigorriaga;522,11;522,29;20,17;14,07;14,14;14,06;14,00;13,97;14,05;13,85;13,83;8,93;8,94;9,03;8,71;8,72;8,74;8,88
48023;Artea;3.777,20;3.710,11;3.578,10;3.565,88;3.533,24;3.543,06;3.552,92;3.466,03;3.359,68;3.341,21;3.399,20;3.303,11;3.311,69;3.400,27;188,88;194,67;29,29;94,98
48008;Artzentales;196,35;197,46;92,70;98,36;95,38;93,22;92,31;90,16;97,36;92,57;91,67;93,09;96,29;97,77;94,01;93,48;96,63;0,00
01004;Artziniega;85,90;7,51;7,52;7,33;7,28;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
01009;Asparrena;958,95;941,64;872,66;240,10;241,14;237,16;239,51;218,69;217,65;215,79;212,59;211,14;212,26;213,90;183,65;185,76;70,08;73,81
20014;Asteasu;1.391,68;1.381,64;1.220,03;1.187,18;1.027,10;181,58;184,11;186,20;185,06;184,23;184,72;186,67;189,83;192,44;190,09;114,83;78,36;40,78
20903;Astigarraga;575,24;507,00;159,30;164,22;78,16;81,56;82,37;71,68;73,52;76,02;79,29;83,85;87,41;89,44;51,86;52,75;26,44;13,96
20015;Ataun;124,78;127,09;103,10;77,28;77,36;78,35;78,40;79,60;77,66;79,51;80,41;77,66;48,11;48,19;48,06;15,64;5,07;6,47
48091;Atxondo;227,57;226,74;173,34;171,84;45,97;45,42;45,65;25,44;29,01;23,69;23,72;21,17;20,98;0,00;0,00;0,00;0,00;0,00
48070;Aulesti;142,86;143,08;145,54;83,83;75,19;75,53;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
01010;Ayala/Aiara;623,44;595,07;290,08;242,49;218,20;212,71;213,67;208,03;208,70;208,97;208,46;209,35;212,24;216,53;137,47;140,59;111,04;85,24
20017;Azkoitia;373,49;363,44;216,02;203,96;198,68;199,10;200,52;198,45;198,41;200,10;200,29;199,69;201,41;24,41;24,49;25,01;25,78;26,48
20018;Azpeitia;342,36;297,04;267,79;166,95;168,78;107,60;108,32;108,36;107,95;108,66;109,13;109,90;44,62;40,72;19,00;19,32;19,48;24,29
01049;A�ana;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48012;Bakio;200,28;166,67;116,86;114,58;95,11;96,58;97,14;96,69;96,75;95,95;95,33;95,60;97,89;101,21;62,21;0,00;0,00;14,84
20904;Baliarrain;2.571,43;2.554,84;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48090;Balmaseda;40,85;26,16;19,81;15,45;15,54;15,57;15,50;15,49;15,48;15,19;15,16;15,59;15,85;16,33;16,24;16,46;16,60;23,94
48013;Barakaldo;30,95;27,21;23,61;23,44;23,56;23,67;23,64;23,59;23,44;23,49;23,33;23,27;23,29;20,89;17,73;16,80;13,77;3,43
48014;Barrika;1.512,33;1.373,27;1.034,59;978,45;178,66;177,85;177,50;174,89;172,52;175,56;176,81;177,98;177,98;181,57;190,38;156,40;81,99;12,45
01013;Barrundia;1.056,34;1.003,18;746,77;709,88;706,88;704,64;699,48;713,68;713,53;651,21;647,80;660,28;664,52;668,10;699,38;730,07;754,23;200,14
48015;Basauri;161,21;83,64;51,18;46,60;46,89;46,70;46,26;46,29;45,90;45,59;45,32;45,03;45,02;10,81;10,66;10,58;10,53;7,34
01011;Ba�os de Ebro/Ma�ueta;176,66;3,13;3,24;3,12;3,10;3,21;3,14;3,19;0,00;3,06;3,08;0,00;0,00;0,00;3,58;3,31;3,36;6,54
20019;Beasain;167,65;111,53;61,90;61,12;61,35;61,32;61,37;61,82;61,80;62,17;53,74;49,33;49,83;50,11;42,69;34,44;27,30;21,38
48092;Bedia;533,27;469,09;429,77;270,73;269,45;276,26;277,61;276,80;273,44;274,93;279,80;284,26;288,66;289,56;76,48;75,15;20,29;22,37
20020;Beizama;2.158,88;2.062,50;1.754,24;1.000,00;1.033,33;968,75;984,13;992,00;952,38;961,24;939,39;875,91;805,37;821,92;863,19;863,19;6,43;0,00
20021;Belauntza;513,16;430,56;73,53;76,63;77,52;77,52;78,43;7,84;0,00;7,30;7,07;0,00;0,00;0,00;4,14;3,93;4,10;0,00
48016;Berango;140,98;106,94;42,43;30,42;30,57;22,46;22,61;22,63;22,55;7,80;7,79;8,64;8,75;8,84;8,31;8,51;8,78;8,64
01014;Berantevilla;982,32;1.010,10;924,30;887,78;907,79;913,40;926,78;932,63;922,43;911,52;919,09;922,43;901,64;905,35;125,69;124,11;0,00;0,00
20022;Berastegi;355,39;349,44;238,58;243,35;83,57;62,38;62,09;62,03;66,86;63,46;62,74;57,36;57,64;58,14;55,31;55,42;57,17;55,60
20074;Bergara;295,00;221,91;181,91;166,00;166,36;166,20;165,79;166,99;166,57;165,82;166,24;167,68;169,58;169,57;64,18;55,93;15,34;11,00
48017;Bermeo;315,01;315,93;233,80;161,74;33,35;33,38;31,02;25,20;25,07;24,91;24,71;24,67;24,72;24,83;14,07;10,45;7,10;10,86
01016;Bernedo;3.354,66;3.242,05;924,35;945,28;868,47;847,17;839,25;871,84;834,88;803,22;754,30;702,05;710,57;702,05;697,42;603,07;223,83;14,59
48018;Berriatua;1.463,30;1.238,17;1.081,19;1.048,53;1.006,39;1.002,39;1.016,96;1.035,36;1.030,25;972,76;965,79;958,80;917,00;655,36;384,14;390,97;9,58;1,90
48019;Berriz;1.972,88;1.569,10;845,41;797,73;513,30;506,29;495,70;419,43;412,13;375,60;362,26;358,17;357,36;356,63;135,48;125,20;11,73;10,77
20023;Berrobi;1.021,85;1.016,72;396,35;389,89;389,89;387,36;387,99;399,00;398,67;409,95;417,10;417,39;412,37;314,14;302,69;208,62;0,00;0,00
20024;Bidania-Goiatz;51,95;52,83;52,14;50,00;50,27;51,57;51,66;54,47;57,14;53,95;53,95;56,39;56,71;57,58;55,31;50,00;50,85;40,38
48020;Bilbao;46,08;42,58;17,65;15,93;12,93;12,91;12,92;12,92;12,88;12,84;12,72;12,44;12,39;11,77;5,47;5,33;5,04;4,33
